model,bootstrap,log_loss,brier,auc,accuracy
StaticMultimodalFusion,41,0.06988502684347153,0.016525328084163616,1.0,0.9696969696969697
StaticMultimodalFusion,42,0.252423037870141,0.060786488086786855,0.9833333333333334,0.90625
StaticMultimodalFusion,43,0.6029575124815849,0.14054873417158972,0.9333333333333333,0.8157894736842105
StaticMultimodalFusion,44,0.35172489838784926,0.08873471603472399,0.9555555555555556,0.8717948717948718
StaticMultimodalFusion,45,0.13485820718079633,0.041861723046421676,1.0,0.9166666666666666
StaticMultimodalFusion,46,0.15673351932559978,0.05210663294924807,1.0,0.8823529411764706
StaticMultimodalFusion,47,0.19924084439415085,0.04491850772589807,0.982905982905983,0.9428571428571428
StaticMultimodalFusion,48,0.263783443119055,0.0694281699552865,0.9487179487179487,0.8857142857142857
StaticMultimodalFusion,49,0.5452073285271971,0.1347156541439092,0.9272727272727274,0.8108108108108109
StaticMultimodalFusion,50,0.4818650887637576,0.1087235976759083,0.9625,0.8888888888888888
StaticMultimodalFusion,51,0.3931437160067861,0.10157838530846462,0.942857142857143,0.8421052631578947
StaticMultimodalFusion,52,0.24806792990958948,0.06494717234769501,0.9642857142857143,0.9166666666666666
StaticMultimodalFusion,53,0.48430616720575453,0.104338973531131,0.9375,0.9117647058823529
StaticMultimodalFusion,54,0.30866084403229394,0.08574498155862503,0.95,0.8235294117647058
StaticMultimodalFusion,55,0.1402601377907665,0.04790052001874387,1.0,0.8857142857142857
StaticMultimodalFusion,56,0.17801613328236762,0.06179173018209676,1.0,0.8648648648648649
StaticMultimodalFusion,57,0.3121161294743275,0.0921664782224344,0.9479166666666667,0.8157894736842105
StaticMultimodalFusion,58,0.11181844156152933,0.032086606038614955,1.0,1.0
StaticMultimodalFusion,59,0.0823597809988646,0.023610022869546658,1.0,0.9393939393939394
StaticMultimodalFusion,60,0.1679507640725532,0.054866194386232685,1.0,0.8571428571428571
StaticMultimodalFusion,61,0.3419878176489678,0.10213982379292542,0.9464285714285714,0.8055555555555556
StaticMultimodalFusion,62,0.13657561210575656,0.04420740790288924,1.0,0.8857142857142857
StaticMultimodalFusion,63,0.37726838690985764,0.09064676447046989,0.9720279720279721,0.8857142857142857
StaticMultimodalFusion,64,0.3097100551770427,0.09134681615542903,0.9375,0.8157894736842105
StaticMultimodalFusion,65,0.22858482686957235,0.051528516567654184,0.9669421487603306,0.9696969696969697
StaticMultimodalFusion,66,0.19351724276207025,0.06805811665319347,1.0,0.8285714285714286
StaticMultimodalFusion,67,0.18596411631727464,0.06304041688106321,1.0,0.8857142857142857
StaticMultimodalFusion,68,0.1579062555566833,0.05080502960602386,1.0,0.8857142857142857
StaticMultimodalFusion,69,0.2548783662761385,0.06481167497859781,0.9642857142857143,0.9444444444444444
StaticMultimodalFusion,70,0.29782072957518546,0.08277521617252462,0.9553571428571429,0.8333333333333334
StaticMultimodalFusion,71,0.45925053367446744,0.12522245916450644,0.9444444444444445,0.7777777777777778
StaticMultimodalFusion,72,0.36627959048055236,0.08477692309080127,0.9428571428571428,0.8823529411764706
StaticMultimodalFusion,73,0.19903459575311389,0.0694764808666792,1.0,0.8108108108108109
StaticMultimodalFusion,74,0.501975950080103,0.1153173300233552,0.925,0.8888888888888888
StaticMultimodalFusion,75,0.20058748838341922,0.07024053141214753,1.0,0.8235294117647058
StaticMultimodalFusion,76,0.2428815302701067,0.05683923460919356,0.9834710743801652,0.9393939393939394
StaticMultimodalFusion,77,0.1209606934211281,0.03747889236162415,1.0,0.9411764705882353
StaticMultimodalFusion,78,0.05789948750793239,0.012099508899641384,1.0,1.0
StaticMultimodalFusion,79,0.17078515817424203,0.05901901376052675,1.0,0.8918918918918919
StaticMultimodalFusion,80,0.06934085648568367,0.014840076439651814,1.0,1.0
StaticMultimodalFusion,81,0.43682882357995123,0.11707271444165904,0.944055944055944,0.7837837837837838
StaticMultimodalFusion,82,0.19839513248536159,0.04262159214622613,0.975,0.9705882352941176
StaticMultimodalFusion,83,0.29593907612215703,0.08306244716749818,0.9658119658119657,0.8285714285714286
StaticMultimodalFusion,84,0.29388914001723787,0.07907415527397756,0.9752066115702479,0.8484848484848485
StaticMultimodalFusion,85,0.3389967199059033,0.10259864114615591,0.9523809523809524,0.7837837837837838
StaticMultimodalFusion,86,0.43273870684656995,0.1135350021319528,0.9444444444444444,0.8333333333333334
StaticMultimodalFusion,87,0.211869180054152,0.048169937570626424,0.975,0.9705882352941176
StaticMultimodalFusion,88,0.10051397528809669,0.03055511015601234,1.0,0.9411764705882353
StaticMultimodalFusion,89,0.1045122152225195,0.028282069711234658,1.0,0.9393939393939394
