representation,evaluation,split,future_state_rmse,future_state_r2,intervention_effect_rmse,intervention_effect_r2,cell_type_accuracy
PCAPretraining,zero_shot,perturbation_holdout,0.6190444919791906,0.5811630487442017,0.4596357552704541,-1.359436273574829,0.7485380116959064
CausaFluxFoundation,frozen_encoder,perturbation_holdout,0.29088306369193195,0.9075220422717265,0.42859100897775876,-1.0514773295056592,0.7660818713450293
CausaFluxFoundation,linear_probe,perturbation_holdout,0.29088306369193195,0.9075220422717265,0.42859100897775876,-1.0514773295056592,0.7660818713450293
CausaFluxFoundation,peft,perturbation_holdout,0.2945726224758847,0.9051611845148272,0.43592585736839756,-1.1222955845977853,0.7660818713450293
CausaFluxFoundation,full_finetune,perturbation_holdout,0.291296759075394,0.9072588099690292,0.43030900300848635,-1.0679568613163675,0.7660818713450293
CausaFluxFoundation,zero_shot,perturbation_holdout,0.5784990286394436,0.6342312693595886,0.45949819495870814,-1.3580241203308105,0.7660818713450293
NoPretrainingMatched,frozen_encoder,prospective,0.5242255449581795,0.779465066168726,0.3969759245460764,0.3315642610824222,0.6132596685082873
NoPretrainingMatched,linear_probe,prospective,0.5242255449581795,0.779465066168726,0.3969759245460764,0.3315642610824222,0.6132596685082873
NoPretrainingMatched,peft,prospective,0.5283704314045182,0.77596387860948,0.39729277613240804,0.33049679358831885,0.6132596685082873
NoPretrainingMatched,full_finetune,prospective,0.2891762032798723,0.932893260748731,0.3901143237568029,0.3544719513851705,0.6132596685082873
NoPretrainingMatched,zero_shot,prospective,0.7478658990091043,0.5511631965637207,0.417702563365681,0.2599422037601471,0.6132596685082873
PCAPretraining,frozen_encoder,prospective,0.28936074310346793,0.9328075051307678,0.3824287554206703,0.3796561658382416,0.7403314917127072
PCAPretraining,linear_probe,prospective,0.28936074310346793,0.9328075051307678,0.3824287554206703,0.3796561658382416,0.7403314917127072
PCAPretraining,peft,prospective,0.2939852817266969,0.9306426644325256,0.38438691221557386,0.37328723073005676,0.7403314917127072
PCAPretraining,full_finetune,prospective,0.28917584903266236,0.9328933954238892,0.3901097905458581,0.354486882686615,0.7403314917127072
PCAPretraining,zero_shot,prospective,0.6095800788290149,0.70180344581604,0.3898244856850651,0.3554307222366333,0.7403314917127072
CausaFluxFoundation,frozen_encoder,prospective,0.2939857800807114,0.9306424597333237,0.3833531471675772,0.3766536937647604,0.7403314917127072
CausaFluxFoundation,linear_probe,prospective,0.2939857800807114,0.9306424597333237,0.3833531471675772,0.3766536937647604,0.7403314917127072
CausaFluxFoundation,peft,prospective,0.3009803877120688,0.9273028427416605,0.3799314885316276,0.38773151938579115,0.7403314917127072
CausaFluxFoundation,full_finetune,prospective,0.2891879806241282,0.9328877944949021,0.3900882299034556,0.3545583042815785,0.7403314917127072
